fbref_id,tm_id,PlayerFBref,TmPos,UrlTmarkt
7c473e12,88262,Dedryck Boyata,Centre-Back,https://www.transfermarkt.com/dedryck-boyata/profil/spieler/88262
75fdd638,627626,Degnand Gnonto,Left Winger,https://www.transfermarkt.com/wilfried-gnonto/profil/spieler/627626
9b7533de,239570,Deian Boldor,Centre-Back,https://www.transfermarkt.com/deian-boldor/profil/spieler/239570
b3f8bdef,332560,Deiver Machado,Left-Back,https://www.transfermarkt.com/deiver-machado/profil/spieler/332560
95a24690,336382,Dejan JoveljiÄ,Centre-Forward,https://www.transfermarkt.com/dejan-joveljic/profil/spieler/336382
df3cda47,431755,Dejan Kulusevski,Right Winger,https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755
c455a2b2,287188,Dejan Ljubicic,Defensive Midfield,https://www.transfermarkt.com/dejan-ljubicic/profil/spieler/287188
1a2935f6,37838,Dejan Lovren,Centre-Back,https://www.transfermarkt.com/dejan-lovren/profil/spieler/37838
05e2d5ea,436585,Delano Burgzorg,Left Winger,https://www.transfermarkt.com/delano-burgzorg/profil/spieler/436585
cea4ee8f,207929,Dele Alli,Attacking Midfield,https://www.transfermarkt.com/dele-alli/profil/spieler/207929
4468ec10,292417,Demarai Gray,Left Winger,https://www.transfermarkt.com/demarai-gray/profil/spieler/292417
16463a79,551752,Demba Seck,Right Winger,https://www.transfermarkt.com/demba-seck/profil/spieler/551752
5ef608f7,380913,Demeaco Duhaney,Right-Back,https://www.transfermarkt.com/demeaco-duhaney/profil/spieler/380913
91c9de34,582131,Denilho Cleonise,Left Winger,https://www.transfermarkt.com/denilho-cleonise/profil/spieler/582131
0b0cbe5b,236045,Denis Bouanga,Left Winger,https://www.transfermarkt.com/denis-bouanga/profil/spieler/236045
0ac94a23,98322,Denis Cheryshev,Left Winger,https://www.transfermarkt.com/denis-cheryshev/profil/spieler/98322
0e490f6e,405399,Denis DrÄguÈ,Centre-Forward,https://www.transfermarkt.com/denis-dragus/profil/spieler/405399
badcdcae,470618,Denis Genreau,Attacking Midfield,https://www.transfermarkt.com/denis-genreau/profil/spieler/470618
b116c6e3,678479,Denis Huseinbasic,Central Midfield,https://www.transfermarkt.com/denis-huseinbasic/profil/spieler/678479
f7750aa0,59641,Denis Odoi,Right-Back,https://www.transfermarkt.com/denis-odoi/profil/spieler/59641
12c50af5,165007,Denis SuÃ¡rez,Attacking Midfield,https://www.transfermarkt.com/denis-suarez/profil/spieler/165007
08990838,239962,Denis Vavro,Centre-Back,https://www.transfermarkt.com/denis-vavro/profil/spieler/239962
384d58d9,334526,Denis Zakaria,Defensive Midfield,https://www.transfermarkt.com/denis-zakaria/profil/spieler/334526
854a2041,288248,Denis-Will Poha,Central Midfield,https://www.transfermarkt.com/denis-will-poha/profil/spieler/288248
