age_y,std_Min_Playing,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,score_style,ability,style_confidence,npxG90,xAG90,SCA90,PrgPass90,PrgCarry90,TakeOn90,TklInt90,AttPenT90,KP90,PassPct,AerPct,MinPct,has_prev,d_ability,d_grp_prod,d_grp_progress,d_grp_chance,d_grp_stability,d_grp_defense,d_npxG90,d_xAG90,d_SCA90,d_PrgCarry90,d_PrgPass90,d_MinPct,d_std_Min_Playing,pos_DF,pos_FW,pos_MF,sty_공격형 MF,sty_공격형 풀백,sty_돌파형 윙어,sty_딥 플레이메이커,sty_박스 포처,sty_볼 운반형,sty_빌드업 수비수,sty_수비형 파괴자,sty_스토퍼,sty_연결형 공격수,sty_타겟맨,fbref_id,season,survived,fut_ability_v2
23.0,1935.0,67.5,39.9,26.4,79.4,43.6,51.3,52.5,51.9,0.47,0.046511627906976744,0.027906976744186046,0.4186046511627907,1.3488372093023255,3.1627906976744184,0.046511627906976744,1.5813953488372092,0.6046511627906976,0.09302325581395349,90.1,60.6,56.6,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14b8fcdf,2018,1,56.0
19.0,1670.0,28.2,44.2,46.5,37.9,81.9,46.6,60.8,53.7,1.74,0.04311377245508982,0.09161676646706586,2.2634730538922154,4.580838323353293,3.2874251497005984,0.6467065868263473,3.718562874251497,1.5628742514970058,1.0778443113772453,78.2,53.2,54.6,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15413fa5,2018,1,42.8
20.0,1168.0,41.6,51.6,36.9,63.5,53.8,53.5,53.7,53.6,1.03,0.01541095890410959,0.0,0.9246575342465754,3.2363013698630136,5.625,0.23116438356164384,4.392123287671233,0.3852739726027397,0.07705479452054795,84.79999999999998,57.10000000000001,34.2,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15d0c248,2018,1,50.400000000000006
23.0,2319.0,33.5,75.9,90.6,31.9,44.5,54.3,62.3,58.3,0.77,0.12419146183699872,0.2949547218628719,4.230271668822769,4.928848641655886,8.15006468305304,2.6390685640362226,1.7852522639068564,2.3285899094437257,2.6390685640362226,68.9,14.300000000000002,67.8,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,162efffd,2018,1,64.1
22.0,2824.0,77.9,74.1,62.6,26.6,62.2,61.1,66.4,63.8,0.12,0.23902266288951843,0.15616147308781872,2.7407932011331444,5.577195467422096,4.652974504249292,1.9440509915014166,3.2188385269121813,4.652974504249292,1.274787535410765,77.2,52.7,82.6,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16657b95,2018,1,55.7
20.0,1524.0,65.4,30.0,45.6,43.4,62.7,49.8,54.4,52.1,0.05,0.0531496062992126,0.02952755905511811,0.5905511811023622,2.0669291338582676,2.4803149606299213,0.23622047244094488,3.0708661417322833,0.5905511811023622,0.23622047244094488,74.6,72.1,44.60000000000001,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,167d5018,2018,0,
22.0,1815.0,69.1,43.5,54.2,21.7,51.6,46.4,52.6,49.5,0.15,0.1487603305785124,0.13388429752066117,2.28099173553719,3.173553719008264,3.818181818181818,1.1900826446280992,3.371900826446281,3.4710743801652892,0.9917355371900826,68.6,35.5,59.3,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16daec92,2018,1,45.8
22.0,1350.0,68.1,74.1,65.2,28.8,77.7,63.0,64.6,63.8,0.04,0.04,0.04666666666666666,1.1333333333333333,4.8,5.666666666666667,0.8666666666666667,4.2,0.9333333333333333,0.3333333333333333,74.2,72.6,44.1,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17370b95,2018,0,
23.0,1595.0,47.5,58.3,58.2,8.5,56.8,48.8,53.0,50.9,1.85,0.28777429467084636,0.12413793103448277,2.7648902821316614,1.4670846394984327,4.909090909090909,2.031347962382445,1.5799373040752351,4.739811912225705,1.2413793103448276,64.01920903954802,32.211299435028245,30.10890282131661,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176674ab,2018,0,
20.0,1249.0,66.1,68.5,74.1,29.3,42.5,62.1,64.7,63.4,1.1,0.33146517213771015,0.14411529223378702,3.2425940752602083,2.161729383506805,7.349879903923139,1.2249799839871898,1.2249799839871898,5.5484387510008,1.5132105684547639,67.6,28.6,36.5,0.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1880614f,2018,0,
21.0,1500.0,74.8,75.4,85.8,42.9,42.3,55.1,66.5,60.8,1.27,0.066,0.132,1.7399999999999998,5.159999999999999,5.22,1.0799999999999998,3.84,2.46,1.0799999999999998,80.6,37.0,43.9,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197640fd,2018,1,57.599999999999994
