fbref_id,Player,Season_End_Year,pos_primary,age_y,std_Min_Playing,Squads,Comps,eligible,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,style,style_confidence,score_style,ability,fut_year,fut_ability,survived
c1c2c925,Sandro,2019,MF,29.0,1305.0,Genoa / Udinese,Serie A,True,24.5,19.1,18.9,55.0,93.5,38.2,수비형 파괴자,1.79,65.5,51.8,,,0
c1d18f10,Boštjan Cesar,2019,DF,36.0,1079.0,Chievo,Serie A,True,39.2,9.6,10.2,58.5,55.3,41.6,스토퍼,1.86,50.1,45.8,,,0
c1febb46,Somália,2018,MF,28.0,2002.0,Toulouse,Ligue 1,True,43.7,39.4,26.2,20.6,50.1,35.2,볼 운반형,0.6,35.4,35.3,,,0
c2009df3,Jonas Hector,2018,DF,27.0,1759.0,Köln,Bundesliga,True,77.1,76.5,84.8,37.8,62.6,62.1,공격형 풀백,0.58,70.0,66.0,2021.0,51.8,1
c2009df3,Jonas Hector,2020,MF,29.0,2433.0,Köln,Bundesliga,True,46.8,41.5,44.2,52.2,80.3,50.8,수비형 파괴자,0.6,64.0,57.4,2023.0,65.2,1
c20bdcd7,Reinildo Mandava,2020,DF,25.0,1110.0,Lille,Ligue 1,True,26.6,51.5,47.0,28.4,59.6,47.3,공격형 풀백,1.05,46.0,46.6,2023.0,55.8,1
c2211709,Ellyes Skhiri,2018,MF,22.0,3049.0,Montpellier,Ligue 1,True,36.5,36.9,31.9,57.9,69.9,45.0,딥 플레이메이커,0.06,45.8,45.4,2021.0,56.5,1
c2211709,Ellyes Skhiri,2019,MF,23.0,3090.0,Montpellier,Ligue 1,True,25.7,37.9,38.4,61.7,82.4,47.6,수비형 파괴자,0.71,65.5,56.6,2022.0,58.4,1
c2211709,Ellyes Skhiri,2020,MF,24.0,2672.0,Köln,Bundesliga,True,39.2,43.3,36.6,54.4,79.0,48.9,수비형 파괴자,0.55,63.4,56.2,2023.0,61.0,1
c24dba2a,Andre Gray,2018,FW,26.0,1498.0,Watford,Premier League,True,57.3,26.8,18.0,31.2,36.7,38.7,타겟맨,0.18,42.6,40.7,,,0
c24dba2a,Andre Gray,2019,FW,27.0,1366.0,Watford,Premier League,True,61.8,27.0,35.1,22.2,15.1,40.9,박스 포처,0.41,45.7,43.3,,,0
c26a3918,Vincent Manceau,2018,DF,28.0,2970.0,Angers,Ligue 1,True,46.8,55.5,58.7,38.3,33.2,42.2,공격형 풀백,0.23,48.4,45.3,2021.0,45.0,1
c26a3918,Vincent Manceau,2019,DF,29.0,2790.0,Angers,Ligue 1,True,42.5,58.1,62.2,40.4,50.3,50.2,공격형 풀백,0.65,53.3,51.8,2022.0,42.6,1
c26a3918,Vincent Manceau,2020,DF,30.0,1980.0,Angers,Ligue 1,True,36.4,57.8,60.6,44.4,39.0,46.1,공격형 풀백,0.55,50.6,48.4,2022.0,42.6,1
c27dfb82,Anthony Gonçalves,2018,MF,31.0,1757.0,Strasbourg,Ligue 1,True,41.3,44.7,74.8,24.7,58.7,48.3,딥 플레이메이커,0.73,49.2,48.8,,,0
c27dfb82,Anthony Gonçalves,2019,MF,32.0,1058.0,Strasbourg,Ligue 1,True,71.1,52.7,66.2,24.5,54.8,52.8,딥 플레이메이커,0.25,50.2,51.5,,,0
c2846353,Marc Navarro,2018,DF,22.0,1109.0,Espanyol,La Liga,True,72.7,45.3,80.1,24.3,25.8,37.1,공격형 풀백,1.91,49.7,43.4,,,0
