,2018,2019,2020,2021,2022,2023,min_coverage
std_npxG_Per,0.999,1.0,0.999,0.998,0.999,0.999,0.998
pt_unSub_Subs,1.0,1.0,1.0,1.0,1.0,0.999,0.999
pt_Subs_Subs,1.0,1.0,1.0,1.0,1.0,0.999,0.999
pt_Compl_Starts,0.999,1.0,1.0,1.0,1.0,0.999,0.999
std_MP_Playing,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_G_plus_A_Per,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_G_minus_PK_Per,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_age_y,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_G_plus_A_minus_PK_Per,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_Starts_Playing,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_Min_Playing,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_Mins_Per_90_Playing,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_Gls,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_Ast,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_G_minus_PK,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_PK,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_PKatt,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_CrdY,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_CrdR,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_Gls_Per,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std_Ast_Per,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pos_primary,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pos_multi,1.0,1.0,1.0,1.0,1.0,1.0,1.0
