fbref_id,Player,Season_End_Year,pos_primary,age_y,std_Min_Playing,Squads,Comps,eligible,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,style,style_confidence,score_style,ability
1598599e,Nampalys Mendy,2018,MF,25.0,965.0,Nice,Ligue 1,True,18.0,53.0,14.3,70.5,37.4,41.2,딥 플레이메이커,0.13,43.6,42.4
1598599e,Nampalys Mendy,2019,MF,26.0,2092.0,Leicester City,Premier League,True,11.0,30.1,7.1,62.8,52.1,32.5,수비형 파괴자,0.33,47.1,39.8
1598599e,Nampalys Mendy,2020,MF,27.0,291.0,Leicester City,Premier League,False,15.8,45.3,29.7,61.9,80.0,46.3,수비형 파괴자,0.59,64.5,55.4
1598599e,Nampalys Mendy,2021,MF,28.0,1459.0,Leicester City,Premier League,True,12.8,35.1,11.0,62.5,56.6,35.6,수비형 파괴자,0.63,50.4,43.0
1598599e,Nampalys Mendy,2022,MF,29.0,1032.0,Leicester City,Premier League,True,9.2,23.4,15.2,58.3,41.4,29.3,수비형 파괴자,0.1,40.0,34.6
1598599e,Nampalys Mendy,2023,MF,30.0,128.0,Leicester City,Premier League,False,28.9,9.6,4.7,43.9,46.4,23.9,딥 플레이메이커,0.06,23.4,23.6
15a21c79,Diego Contento,2018,DF,27.0,108.0,Bordeaux,Ligue 1,False,54.0,32.3,64.5,33.7,41.8,40.8,공격형 풀백,0.3,44.6,42.7
15ab5a2b,Julián Álvarez,2023,FW,22.0,296.0,Manchester City,Premier League,False,51.9,50.5,37.8,50.7,44.0,47.9,연결형 공격수,0.12,46.1,47.0
15b287da,Daichi Kamada,2018,MF,20.0,144.0,Eint Frankfurt,Bundesliga,False,22.5,28.9,20.1,59.1,22.7,31.3,공격형 MF,1.51,27.0,29.2
15b287da,Daichi Kamada,2020,MF,22.0,1969.0,Eint Frankfurt,Bundesliga,True,80.4,58.6,74.4,23.3,17.6,51.8,공격형 MF,0.73,64.3,58.0
15b287da,Daichi Kamada,2021,MF,23.0,2356.0,Eint Frankfurt,Bundesliga,True,80.3,58.3,85.4,25.0,45.8,58.5,공격형 MF,0.46,69.1,63.8
15b287da,Daichi Kamada,2022,MF,24.0,2139.0,Eint Frankfurt,Bundesliga,True,67.7,61.8,62.9,29.6,17.9,49.9,볼 운반형,0.04,53.4,51.6
15b287da,Daichi Kamada,2023,MF,26.0,781.0,Eint Frankfurt,Bundesliga,True,84.5,59.3,66.3,27.4,45.5,56.0,공격형 MF,0.32,65.1,60.6
15d0c248,Luiz Felipe,2018,DF,20.0,1168.0,Lazio,Serie A,True,41.6,51.6,36.9,63.5,53.8,53.5,빌드업 수비수,1.03,53.7,53.6
15d0c248,Luiz Felipe,2019,DF,21.0,1289.0,Lazio,Serie A,True,59.6,42.6,39.7,59.9,42.5,47.4,빌드업 수비수,0.38,48.3,47.8
15d0c248,Luiz Felipe,2020,DF,22.0,2024.0,Lazio,Serie A,True,42.8,56.7,50.6,46.8,55.1,52.3,빌드업 수비수,0.58,52.1,52.2
15d0c248,Luiz Felipe,2021,DF,23.0,909.0,Lazio,Serie A,True,40.8,42.3,36.3,53.9,54.7,49.5,빌드업 수비수,0.79,47.6,48.6
15d0c248,Luiz Felipe,2022,DF,24.0,2491.0,Lazio,Serie A,True,25.0,42.4,19.8,73.8,49.2,49.8,스토퍼,0.58,53.4,51.6
15d0c248,Luiz Felipe,2023,DF,25.0,414.0,Betis,La Liga,False,52.6,43.7,27.2,58.1,57.3,51.5,스토퍼,0.87,55.4,53.4
15d561fa,Xande Silva,2019,FW,21.0,18.0,West Ham,Premier League,False,30.2,26.5,50.9,14.3,54.6,34.5,연결형 공격수,2.41,35.6,35.0
15e1afd5,Franck Tabanou,2018,DF,28.0,1048.0,Guingamp,Ligue 1,True,45.2,49.4,76.6,16.0,38.3,39.1,공격형 풀백,1.28,48.6,43.8
15e1afd5,Franck Tabanou,2019,DF,29.0,180.0,Guingamp,Ligue 1,False,31.4,17.2,25.9,60.5,46.5,41.3,스토퍼,1.4,46.2,43.8
15e99107,Mohamed Lamine Diaby,2019,FW,17.0,162.0,Nice,Ligue 1,False,3.8,7.0,2.9,65.6,30.0,13.1,타겟맨,0.62,16.8,15.0
15e9c7e6,Nani,2018,FW,30.0,387.0,Lazio,Serie A,False,69.6,75.8,91.9,34.4,60.2,70.8,연결형 공격수,0.19,72.9,71.8
15e9c7e6,Nani,2022,MF,34.0,287.0,Venezia,Serie A,False,33.2,54.4,65.8,19.0,39.7,44.2,볼 운반형,1.47,47.8,46.0
15ea812b,James Tarkowski,2018,DF,24.0,2790.0,Burnley,Premier League,True,54.6,26.4,36.9,45.4,76.8,53.8,스토퍼,3.41,62.4,58.1
15ea812b,James Tarkowski,2019,DF,25.0,3086.0,Burnley,Premier League,True,69.3,30.3,33.1,26.8,87.2,54.4,스토퍼,3.15,64.8,59.6
15ea812b,James Tarkowski,2020,DF,26.0,3420.0,Burnley,Premier League,True,65.6,30.2,51.5,43.0,86.1,59.7,스토퍼,2.84,68.4,64.1
15ea812b,James Tarkowski,2021,DF,27.0,3240.0,Burnley,Premier League,True,65.7,30.2,39.1,40.6,83.1,56.6,스토퍼,2.34,65.8,61.2
15ea812b,James Tarkowski,2022,DF,28.0,3106.0,Burnley,Premier League,True,60.3,33.6,39.5,27.4,85.5,54.7,스토퍼,2.91,64.1,59.4
15ea812b,James Tarkowski,2023,DF,29.0,1170.0,Everton,Premier League,True,66.5,43.8,29.2,32.4,67.5,50.1,스토퍼,2.08,55.6,52.8
15ea94de,Josip Drmić,2018,FW,24.0,467.0,M'Gladbach,Bundesliga,False,76.1,32.1,44.8,24.2,42.3,52.5,박스 포처,0.06,58.4,55.4
15ea94de,Josip Drmić,2019,FW,25.0,222.0,M'Gladbach,Bundesliga,False,63.6,32.0,37.7,66.6,27.1,48.8,박스 포처,0.66,53.2,51.0
15ea94de,Josip Drmić,2020,FW,26.0,647.0,Norwich City,Premier League,True,45.3,13.3,16.2,32.7,50.8,32.3,연결형 공격수,0.12,27.1,29.7
15f24fe7,Sasa Kalajdzic,2021,FW,23.0,2136.0,Stuttgart,Bundesliga,True,75.5,46.2,57.2,27.3,51.5,58.8,타겟맨,0.13,59.9,59.4
15f24fe7,Sasa Kalajdzic,2022,FW,24.0,1221.0,Stuttgart,Bundesliga,True,61.3,43.9,50.4,27.1,54.0,51.5,연결형 공격수,0.58,48.5,50.0
15f24fe7,Sasa Kalajdzic,2023,FW,25.0,278.0,Stuttgart / Wolves,Bundesliga / Premier League,False,45.3,42.9,64.0,10.6,45.4,45.1,연결형 공격수,0.08,46.2,45.7
15f3ec41,Callum Hudson-Odoi,2018,FW,16.0,29.0,Chelsea,Premier League,False,39.6,91.1,25.7,34.5,29.2,45.6,돌파형 윙어,1.02,52.9,49.2
15f3ec41,Callum Hudson-Odoi,2019,FW,17.0,393.0,Chelsea,Premier League,False,38.4,69.1,74.5,51.0,31.9,52.4,돌파형 윙어,1.66,58.2,55.3
15f3ec41,Callum Hudson-Odoi,2020,FW,18.0,863.0,Chelsea,Premier League,True,38.8,86.1,94.5,39.7,43.5,60.0,돌파형 윙어,2.3,69.8,64.9
15f3ec41,Callum Hudson-Odoi,2021,MF,19.0,1059.0,Chelsea,Premier League,True,68.6,76.5,97.1,46.9,39.4,68.0,공격형 MF,0.56,75.5,71.8
15f3ec41,Callum Hudson-Odoi,2022,MF,20.0,962.0,Chelsea,Premier League,True,76.3,65.3,94.8,33.8,13.6,58.8,공격형 MF,0.04,71.7,65.2
15f3ec41,Callum Hudson-Odoi,2023,MF,21.0,379.0,Leverkusen,Bundesliga,False,37.2,45.6,82.0,46.4,17.2,47.5,볼 운반형,1.21,49.3,48.4
15fd5593,Davy Klaassen,2018,MF,24.0,251.0,Everton,Premier League,False,26.6,25.5,20.3,52.8,40.1,32.3,수비형 파괴자,0.29,39.4,35.8
15fd5593,Davy Klaassen,2019,MF,25.0,2816.0,Werder Bremen,Bundesliga,True,57.7,31.1,57.3,36.9,67.1,46.9,수비형 파괴자,0.24,53.2,50.0
15fd5593,Davy Klaassen,2020,MF,26.0,2936.0,Werder Bremen,Bundesliga,True,64.4,34.7,58.0,48.3,70.5,51.9,수비형 파괴자,0.07,58.6,55.2
15fd5593,Davy Klaassen,2021,MF,27.0,222.0,Werder Bremen,Bundesliga,False,24.1,16.4,26.3,26.1,41.0,25.1,공격형 MF,0.71,23.9,24.5
16264a81,Moisés Caicedo,2022,MF,19.0,660.0,Brighton,Premier League,True,56.9,32.1,29.6,51.3,80.5,46.4,수비형 파괴자,0.44,62.2,54.3
16264a81,Moisés Caicedo,2023,MF,21.0,1065.0,Brighton,Premier League,True,40.8,50.7,50.1,48.5,71.4,51.7,수비형 파괴자,0.85,60.0,55.8
162efffd,Rodrigo De Paul,2018,FW,23.0,2319.0,Udinese,Serie A,True,33.5,75.9,90.6,31.9,44.5,54.3,연결형 공격수,0.77,62.3,58.3
162efffd,Rodrigo De Paul,2019,MF,24.0,3189.0,Udinese,Serie A,True,73.9,82.0,92.9,19.3,24.7,61.8,딥 플레이메이커,0.65,60.0,60.9
162efffd,Rodrigo De Paul,2020,MF,25.0,2822.0,Udinese,Serie A,True,79.7,81.0,93.6,28.3,31.7,65.4,딥 플레이메이커,0.23,63.5,64.4
162efffd,Rodrigo De Paul,2021,MF,26.0,3201.0,Udinese,Serie A,True,72.4,84.2,95.3,21.3,33.8,64.5,딥 플레이메이커,0.37,63.1,63.8
162efffd,Rodrigo De Paul,2022,MF,27.0,2151.0,Atlético Madrid,La Liga,True,49.4,70.9,79.0,42.7,47.3,60.1,딥 플레이메이커,0.84,61.2,60.6
162efffd,Rodrigo De Paul,2023,MF,28.0,557.0,Atlético Madrid,La Liga,False,44.3,56.4,68.6,27.4,34.8,48.0,딥 플레이메이커,0.46,48.3,48.2
16324e1d,Anthony Briançon,2019,DF,23.0,2924.0,Nîmes,Ligue 1,True,71.5,27.8,25.9,52.0,55.8,47.0,스토퍼,1.02,51.9,49.4
16324e1d,Anthony Briançon,2020,DF,24.0,1737.0,Nîmes,Ligue 1,True,64.8,36.2,18.4,68.0,55.0,51.4,스토퍼,0.35,56.0,53.7
16324e1d,Anthony Briançon,2021,DF,25.0,1225.0,Nîmes,Ligue 1,True,41.5,45.1,36.3,63.5,51.1,51.0,빌드업 수비수,0.07,50.7,50.8
1633fc8a,Juanpe,2018,DF,26.0,3065.0,Girona,La Liga,True,72.5,32.8,28.0,51.7,50.3,46.0,빌드업 수비수,0.18,43.5,44.8
1633fc8a,Juanpe,2019,DF,27.0,2767.0,Girona,La Liga,True,52.3,45.3,21.0,52.8,63.5,52.4,스토퍼,0.62,57.8,55.1
1633fc8a,Juanpe,2023,DF,31.0,615.0,Girona,La Liga,True,43.3,61.0,35.9,53.4,40.1,47.3,빌드업 수비수,0.61,51.1,49.2
16380240,Mesut Özil,2018,MF,28.0,2163.0,Arsenal,Premier League,True,81.2,92.9,96.7,48.6,11.9,70.9,공격형 MF,0.49,82.1,76.5
16380240,Mesut Özil,2019,MF,29.0,1735.0,Arsenal,Premier League,True,61.0,81.4,92.1,43.4,8.2,61.9,공격형 MF,0.18,71.0,66.4
16380240,Mesut Özil,2020,MF,30.0,1438.0,Arsenal,Premier League,True,49.6,75.2,88.7,43.9,12.6,58.4,공격형 MF,0.13,65.3,61.8
16463a79,Demba Seck,2022,MF,20.0,146.0,Torino,Serie A,False,62.3,57.5,33.9,29.3,32.7,44.1,공격형 MF,0.25,47.8,46.0
16463a79,Demba Seck,2023,MF,21.0,209.0,Torino,Serie A,False,49.4,50.9,19.2,8.7,48.5,35.5,볼 운반형,2.3,37.8,36.6
16569fef,Dimitri Bisoli,2020,MF,25.0,2152.0,Brescia,Serie A,True,45.3,44.2,38.8,24.4,77.5,44.3,수비형 파괴자,0.76,55.7,50.0
165a2e40,Burak Yılmaz,2021,FW,35.0,2051.0,Lille,Ligue 1,True,67.6,39.3,45.0,44.7,34.8,51.8,박스 포처,0.5,55.8,53.8
165a2e40,Burak Yılmaz,2022,FW,36.0,2211.0,Lille,Ligue 1,True,52.3,37.6,41.2,38.4,22.5,42.8,박스 포처,0.41,44.8,43.8
165bed61,Samir Nasri,2019,MF,31.0,245.0,West Ham,Premier League,False,38.6,71.5,97.5,69.3,17.3,63.2,공격형 MF,0.21,66.5,64.8
16657b95,Bryan Cristante,2018,MF,22.0,2824.0,Atalanta,Serie A,True,77.9,74.1,62.6,26.6,62.2,61.1,공격형 MF,0.12,66.4,63.8
16657b95,Bryan Cristante,2019,MF,23.0,2425.0,Roma,Serie A,True,61.9,61.0,47.8,48.0,78.2,58.5,수비형 파괴자,0.8,65.7,62.1
16657b95,Bryan Cristante,2020,MF,24.0,1616.0,Roma,Serie A,True,48.2,67.3,58.5,61.6,47.9,58.6,딥 플레이메이커,0.45,59.8,59.2
