age_y,std_Min_Playing,grp_prod,grp_progress,grp_chance,grp_stability,grp_defense,score_position,score_style,ability,style_confidence,npxG90,xAG90,SCA90,PrgPass90,PrgCarry90,TakeOn90,TklInt90,AttPenT90,KP90,PassPct,AerPct,MinPct,has_prev,d_ability,d_grp_prod,d_grp_progress,d_grp_chance,d_grp_stability,d_grp_defense,d_npxG90,d_xAG90,d_SCA90,d_PrgCarry90,d_PrgPass90,d_MinPct,d_std_Min_Playing,pos_DF,pos_FW,pos_MF,sty_공격형 MF,sty_공격형 풀백,sty_돌파형 윙어,sty_딥 플레이메이커,sty_박스 포처,sty_볼 운반형,sty_빌드업 수비수,sty_수비형 파괴자,sty_스토퍼,sty_연결형 공격수,sty_타겟맨,fbref_id,season,survived,fut_ability_v2
21.0,2039.0,69.4,23.7,44.6,36.0,42.9,38.8,40.1,39.4,0.5,0.06620892594409024,0.04413928396272683,0.6620892594409025,1.9421284943599804,1.4124570868072586,0.30897498773908777,1.8097106424718,0.8386463952918097,0.39725355566454146,79.0,51.6,59.6,0,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0313a347,2020,1,43.8
21.0,1489.0,58.1,79.4,75.0,28.4,42.8,59.6,65.1,62.4,0.45,0.08462055070517126,0.16924110141034251,3.8683680322364005,5.742108797850907,8.099395567494962,2.9012760241773004,2.7803895231699127,1.8737407656145064,1.9946272666218938,81.03915662650601,30.8,58.56386836803223,0,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,True,False,False,False,False,False,032f894e,2020,1,64.0
22.0,1618.0,56.1,71.0,84.0,24.2,44.9,60.3,54.4,57.4,0.01,0.261433868974042,0.22805933250927068,2.9480840543881337,2.1137206427688504,3.7824474660074165,1.6687268232385661,0.723114956736712,8.95550061804697,1.6687268232385661,73.5,42.1,47.3,0,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,03f946ed,2018,1,52.5
23.0,3031.0,39.9,45.9,31.2,40.9,41.8,39.6,40.1,39.8,0.12,0.25833058396568787,0.0653249752556912,2.0785219399538106,1.3658858462553614,3.295941933355328,1.2768063345430551,0.653249752556912,4.988452655889145,0.861101946552293,75.8,35.4,88.6,1,-17.6,-16.200000000000003,-25.1,-52.8,16.7,-3.1000000000000014,-0.003103285008354162,-0.1627343572535795,-0.8695621144343231,-0.4865055326520884,-0.747834796513489,41.3,1413.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,03f946ed,2019,1,65.7
21.0,1153.0,85.8,69.1,89.7,27.1,37.0,62.5,65.4,64.0,0.48,0.1717259323503903,0.2810060711188205,4.917606244579358,2.575888985255854,12.879444926279271,4.371205550737207,1.0928013876843017,7.649609713790112,1.5611448395490026,79.7,60.0,37.7,0,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,True,False,False,False,False,False,042e8a49,2018,1,70.30000000000001
22.0,1378.0,91.4,66.5,87.6,25.8,29.1,60.7,63.4,62.0,0.51,0.2612481857764877,0.2612481857764877,3.4615384615384612,2.808417997097242,11.429608127721334,3.788098693759071,0.9143686502177067,7.053701015965166,1.7634252539912916,79.6,39.1,45.0,1,-2.0,5.6000000000000085,-2.5999999999999943,-2.1000000000000085,-1.3000000000000007,-7.899999999999999,0.08952225342609738,-0.019757885342332804,-1.4560677830408966,-1.4498367985579375,0.23252901184138786,7.299999999999997,225.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,042e8a49,2019,1,68.4
23.0,1505.0,86.6,75.2,93.2,24.4,39.8,65.1,77.2,71.2,0.0,0.28106312292358804,0.28704318936877077,4.544850498338871,4.0664451827242525,11.362126245847177,3.5880398671096345,1.495016611295681,8.611295681063122,1.973421926910299,76.7,48.6,49.2,1,9.200000000000003,-4.800000000000011,8.700000000000003,5.6000000000000085,-1.4000000000000021,10.699999999999996,0.019814937147100364,0.025795003592283094,1.0833120368004097,-0.06748188187415671,1.2580271856270104,4.200000000000003,127.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,042e8a49,2020,1,67.4
20.0,1596.0,31.7,30.3,15.4,18.6,64.3,30.1,29.7,29.9,0.41,0.2481203007518797,0.05075187969924812,1.4661654135338344,1.1278195488721805,2.142857142857143,0.9022556390977443,1.2406015037593985,3.9473684210526314,0.39473684210526316,57.9,41.0,46.70000000000001,0,,,,,,,,,,,,,,False,True,False,False,False,True,False,False,False,False,False,False,False,False,04e17fd5,2018,1,43.400000000000006
21.0,2106.0,50.4,45.3,11.7,9.3,56.9,38.2,40.6,39.4,0.02,0.3034188034188034,0.09829059829059829,1.3675213675213675,1.5811965811965814,2.0085470085470085,1.4529914529914532,0.982905982905983,5.085470085470086,0.6410256410256411,56.2,55.9,61.6,1,9.5,18.7,14.999999999999996,-3.700000000000001,-9.3,-7.399999999999999,0.05529850266692368,0.04753871859135017,-0.0986440460124669,-0.13431013431013428,0.45337703232440085,14.899999999999991,510.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,04e17fd5,2019,1,43.05
22.0,2181.0,46.9,25.2,16.6,21.5,56.3,34.9,41.5,38.2,0.24,0.35488308115543327,0.028885832187070148,1.2379642365887207,0.7840440165061898,2.1458046767537824,0.9491059147180192,0.9491059147180192,4.704264099037139,0.4539202200825309,62.86363636363635,42.28181818181818,34.222512608895,1,-1.1999999999999957,-3.5,-20.099999999999998,4.900000000000002,12.2,-0.6000000000000014,0.05146427773662987,-0.06940476610352814,-0.12955713093264687,0.13725766820677388,-0.7971525646903915,-27.377487391105,75.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,04e17fd5,2020,1,37.5
22.0,1548.0,47.7,43.2,22.3,40.3,54.7,40.8,40.2,40.5,0.51,0.11046511627906977,0.05232558139534884,1.9767441860465118,2.8488372093023258,3.9534883720930236,2.0348837209302326,2.616279069767442,2.0930232558139537,0.813953488372093,86.6,62.5,45.3,0,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0557ff4f,2019,0,
23.0,1122.0,47.1,71.0,57.0,54.4,41.7,52.5,57.5,55.0,0.66,0.040106951871657755,0.03208556149732621,1.4438502673796791,3.93048128342246,4.491978609625669,0.8021390374331551,3.128342245989305,0.8823529411764706,0.5614973262032086,91.4,46.7,44.5,1,14.5,-0.6000000000000014,27.799999999999997,34.7,14.100000000000001,-13.0,-0.07035816440741202,-0.020240019898022633,-0.5328939186668327,0.538490237532645,1.0816440741201343,-0.7999999999999972,-426.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0557ff4f,2020,0,
